Model,Training Time (s),Training MAE,Training MSE,Training RMSE,Training R²,Test MAE,Test MSE,Test RMSE,Test R²
Baseline (Mean Predictor),0.0,66.44815382516512,6076.398012984615,77.9512540821802,0.0,64.00646146990485,5361.533457238513,73.22249283682244,-0.011962984778542296
Linear Regression,0.001,43.483503523980396,2868.549702835577,53.558843367230935,0.5279193863361498,42.79409467959994,2900.1936284934814,53.85344583676593,0.4526027629719195
Random Forest,0.152,17.406543909348443,460.4930932011332,21.459102805129884,0.9242161075990893,44.053033707865175,2952.0105887640448,54.332408273184846,0.4428225673999313
Elastic Net,0.001,66.16280406468873,6022.3083478943745,77.60353308899263,0.008901600088515704,63.70590076411911,5311.21282167187,72.87806818015876,-0.0024652131111431164
Gradient Boosting,0.0674,25.351692588287143,997.1211225895325,31.577224744893787,0.8359025987996851,44.60329704365656,2898.4366729135227,53.837130987019755,0.4529343796683364
Polynomial Regression,0.0026,39.14260998957741,2393.138618059786,48.91971604639367,0.6061583502354678,43.58169325465253,3096.028307344284,55.64196534401246,0.4156399336407979
